,State,Population (2018),Senators,Rem_Pop,Change,PPS,PVI,D_share,R_share
0,AL,4887871,1,1623221.0,-1.0,4887871.0,-14,43.0,57.0
1,AK,737438,1,0.0,-1.0,737438.0,-9,45.5,54.5
2,AZ,7171646,2,642346.0,0.0,3585823.0,-5,47.5,52.5
3,AR,3013825,1,0.0,-1.0,3013825.0,-15,42.5,57.5
4,CA,39557045,12,381245.0,1.0,3296420.4166666665,12,56.0,44.0
5,CO,5695564,1,2430914.0,-1.0,5695564.0,1,50.5,49.5
6,CT,3572665,1,308015.0,-1.0,3572665.0,6,53.0,47.0
7,DE,967171,1,0.0,-1.0,967171.0,6,53.0,47.0
8,FL,21299325,6,1711425.0,1.0,3549887.5,-2,49.0,51.0
9,GA,10519475,3,725525.0,1.0,3506491.6666666665,-5,47.5,52.5
10,HI,1420491,1,0.0,-1.0,1420491.0,18,59.0,41.0
11,ID,1754208,1,0.0,-1.0,1754208.0,-19,40.5,59.5
12,IL,12741080,4,0.0,1.0,3185270.0,7,53.5,46.5
13,IN,6691878,2,162578.0,0.0,3345939.0,-9,45.5,54.5
14,IA,3156145,1,0.0,-1.0,3156145.0,-3,48.5,51.5
15,KS,2911505,1,0.0,-1.0,2911505.0,-13,43.5,56.5
16,KY,4468402,1,1203752.0,-1.0,4468402.0,-15,42.5,57.5
17,LA,4659978,1,1395328.0,-1.0,4659978.0,-11,44.5,55.5
18,ME,1338404,1,0.0,-1.0,1338404.0,3,51.5,48.5
19,MD,6042718,1,2778068.0,-1.0,6042718.0,12,56.0,44.0
20,MA,6902149,2,372849.0,0.0,3451074.5,12,56.0,44.0
21,MI,9995915,3,201965.0,1.0,3331971.6666666665,1,50.5,49.5
22,MN,5611179,1,2346529.0,-1.0,5611179.0,1,50.5,49.5
23,MS,2986530,1,0.0,-1.0,2986530.0,-9,45.5,54.5
24,MO,6126452,2,0.0,0.0,3063226.0,-9,45.5,54.5
25,MT,1062305,1,0.0,-1.0,1062305.0,-11,44.5,55.5
26,NE,1929268,1,0.0,-1.0,1929268.0,-14,43.0,57.0
27,NV,3034392,1,0.0,-1.0,3034392.0,1,50.5,49.5
28,NH,1356458,1,0.0,-1.0,1356458.0,0,50.0,50.0
29,NJ,8908520,2,2379220.0,0.0,4454260.0,7,53.5,46.5
30,NM,2095428,1,0.0,-1.0,2095428.0,3,51.5,48.5
31,NY,19542209,6,0.0,1.0,3257034.8333333335,12,56.0,44.0
32,NC,10383620,3,589670.0,1.0,3461206.6666666665,-3,48.5,51.5
33,ND,760077,1,0.0,-1.0,760077.0,-17,41.5,58.5
34,OH,11689442,3,1895492.0,1.0,3896480.6666666665,-3,48.5,51.5
35,OK,3943079,1,678429.0,-1.0,3943079.0,-20,40.0,60.0
36,OR,4190713,1,926063.0,-1.0,4190713.0,5,52.5,47.5
37,PA,12807060,4,0.0,1.0,3201765.0,0,50.0,50.0
38,RI,1057315,1,0.0,-1.0,1057315.0,10,55.0,45.0
39,SC,5084127,1,1819477.0,-1.0,5084127.0,-8,46.0,54.0
40,SD,882235,1,0.0,-1.0,882235.0,-14,43.0,57.0
41,TN,6770010,2,240710.0,0.0,3385005.0,-14,43.0,57.0
42,TX,28701845,8,2584645.0,1.0,3587730.625,-8,46.0,54.0
43,UT,3161105,1,0.0,-1.0,3161105.0,-20,40.0,60.0
44,VT,626299,1,0.0,-1.0,626299.0,15,57.5,42.5
45,VA,8517685,2,1988385.0,0.0,4258842.5,1,50.5,49.5
46,WA,7535591,2,1006291.0,0.0,3767795.5,7,53.5,46.5
47,WV,1805832,1,0.0,-1.0,1805832.0,-19,40.5,59.5
48,WI,5813568,1,2548918.0,-1.0,5813568.0,0,50.0,50.0
49,WY,577737,1,0.0,-1.0,577737.0,-25,37.5,62.5
